name,score,soft_score,char_count,wall_seconds,tok_per_sec,has_theorem,has_by,has_function,has_lean_keyword,has_lean_codeblock,lean_keyword_count,imports,unicode_nat,ends_with_keyword,output
add_zero,2,3,72,1.63,156.971,True,True,False,True,True,3,0,True,False,"```lean4\ntheorem add_zero : ∀ n : ℕ, n + 0 = n := by\n  intro n\n  rfl\n```"
zero_add,1,2,93,1.54,166.411,False,True,False,True,True,3,2,True,False,```lean4\nimport Mathlib\nimport Aesop\n\ntheorem zero_add_n {n : ℕ} : 0 + n = n := by\n  simp\n```
add_comm,2,3,158,2.45,104.37,True,True,False,True,True,6,1,True,False,"```lean4\nimport Mathlib\n\ntheorem commutativity (a b : ℕ) : a + b = b + a := by\n  induction' a with k hk\n  simp\n  rw [Nat.add_succ, Nat.add_succ]\n  rw [hk]\n```"
add_assoc,2,3,435,7.04,36.363,True,True,False,True,True,4,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem add_assoc (a b c : ℕ) : (a + b) + c = a + (b + c) := by\n  induction c with\n  | zero =>\n    simp\n  | succ c ih =>\n    calc\n      (a + b) + (c + 1) = ((a + b) + c) + 1 := by rw [add_assoc]\n      _ = (a + (b + c)) + 1 := by rw [ih]\n      _ = a + ((b + c) + 1) := by rw [add_assoc]\n      _ = a + (b + (c + 1)) := by rw [add_assoc]\n```
mul_one,1,3,77,1.34,191.053,True,True,False,True,True,3,1,True,False,```lean4\nimport Mathlib\n\ntheorem mul_one (n : ℕ) : n * 1 = n := by\n  simp\n```
one_mul,2,3,317,4.38,58.419,True,True,False,True,True,4,2,True,False,"```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem mul_one_eq (n : ℕ) : 1 * n = n := by\n  induction n with\n  | zero => simp\n  | succ n ih =>\n    calc\n      1 * (n + 1) = 1 * n + 1 * 1 := by rw [mul_add]\n      _            = n + 1        := by rw [ih, mul_one]\n```"
mul_zero,1,3,170,2.39,107.013,True,True,False,True,True,2,2,True,False, ```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem mul_zero (n : ℕ) : n * 0 = 0 := by\n  rw [zero_eq_mul_left n]\n```
mul_comm,1,3,99,1.64,155.904,True,True,False,True,True,3,1,False,False,```lean4\nimport Mathlib\n\ntheorem mul_comm (a b : Nat) : a * b = b * a := by\n  rw [Nat.mul_comm]\n```
le_refl,1,3,154,2.19,117.019,True,True,False,True,True,4,2,False,False,"```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem lehman4078 : ∀ n, n ≤ n := by\n  intro n\n  rfl\n```"
le_trans,1,3,302,4.17,61.378,True,True,False,True,True,8,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem transitivity_of_le (a b c : Nat) (h1 : a ≤ b) (h2 : b ≤ c) : a ≤ c := by\n  induction h2 with\n  | step h2 ih =>\n    apply Nat.le_trans h1\n    exact Nat.le_of_succ_le_succ h2\n  | refl => exact h1\n```
zero_le,1,3,162,2.12,120.945,True,True,False,True,True,4,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem zero_le_n (n : ℕ) : 0 ≤ n := by\n  exact Nat.zero_le n\n```
lt_succ_self,1,3,182,2.58,99.221,True,True,False,True,True,7,1,False,False,```lean4\nimport Mathlib\n\nlemma Nat_lt_add_one (n : Nat) : n < n + 1 := by\n  cases n with\n  | zero => simp\n  | succ k =>\n    simp [Nat.succ_lt_succ_iff]\n    exact Nat_lt_add_one k\n```
even_double,1,3,114,2.01,127.651,True,True,False,True,True,2,1,True,False,"```lean4\nimport Mathlib\n\ntheorem two_mul_n_is_even (n : ℕ) : ∃ k, 2 * n = 2 * k := by\n  use n\n  all_goals ring\n```"
succ_inj,0,2,181,2.57,99.493,False,True,False,True,True,9,1,False,False,```lean4\nimport Mathlib\n\nlemma Nat.succ_injective : Function.Injective Nat.succ := by\n  intro a b h\n  have h1 : Nat.succ a = Nat.succ b := h\n  rw [Nat.succ_inj] at h1\n  exact h1\n```
list_length,1,2,84,1.36,188.779,False,False,True,True,True,1,0,False,False,```lean4\ndef length : List α → Nat\n  | []      => 0\n  | (_ :: t) => 1 + length t\n```
list_append_length,1,3,159,1.74,147.176,True,True,False,True,True,4,1,False,False,```lean4\nimport Mathlib\n\ntheorem list_length_append (xs ys : List α) :\n    (xs ++ ys).length = xs.length + ys.length := by\n  exact List.length_append xs ys\n```
list_reverse_reverse,2,3,152,1.84,138.829,True,True,False,True,True,5,0,False,False,```lean4\ntheorem list_reverse_id (xs : List α) : xs.reverse.reverse = xs := by\n  induction' xs with head tail ih\n  · rfl\n  · simp_all [List.reverse]\n```
list_map_append,0,2,191,2.57,99.584,False,True,False,True,True,4,2,False,False,```lean4\nimport Mathlib\nimport Aesop\n\ntheorem map_append_distribution {α β : Type*} (f : α → β) (xs ys : List α) :\n    (xs ++ ys).map f = xs.map f ++ ys.map f := by\n  rw [List.map_append]\n```
list_filter_def,1,2,514,5.66,45.256,False,False,True,True,True,4,0,False,False,"Here's the definition of the `filter` function in Lean 4:\n\n```lean4\ndef filter (p : α → Bool) (xs : List α) : List α :=\n  match xs with\n  | [] => []\n  | x :: xs' => if p x then x :: filter p xs' else filter p xs'\n```\n\nThis function recursively processes the input list:\n- If the list is empty, it returns an empty list.\n- If the list has an element `x` and the rest `xs'`, it checks if `p x` is true. If so, it keeps `x` and recursively filters `xs'`. If not, it just recursively filters `xs'` without keeping `x`."
and_comm,2,3,232,3.54,72.282,True,True,False,True,True,10,2,False,False,"```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem and_comm (P Q : Prop) : P ∧ Q ↔ Q ∧ P := by\n  constructor\n  · intro h\n    exact ⟨h.2, h.1⟩\n  · intro h\n    exact ⟨h.2, h.1⟩\n```"
